455000	0.038	15.391
456000	0.037	15.429
457000	0.036	15.465
458000	0.036	15.501
459000	0.035	15.536
460000	0.034	15.570
461000	0.034	15.604
462000	0.033	15.637
463000	0.034	15.671
464000	0.034	15.705
465000	0.033	15.738
466000	0.033	15.771
467000	0.031	15.803
468000	0.032	15.835
469000	0.033	15.868
470000	0.033	15.901
471000	0.034	15.935
472000	0.034	15.968
473000	0.033	16.001
474000	0.032	16.033
475000	0.032	16.065
476000	0.032	16.097
477000	0.032	16.129
478000	0.033	16.162
479000	0.033	16.195
480000	0.033	16.228
481000	0.034	16.262
482000	0.036	16.299
483000	0.037	16.336
484000	0.040	16.376
485000	0.041	16.416
486000	0.041	16.457
487000	0.041	16.498
488000	0.041	16.540
489000	0.041	16.581
490000	0.040	16.621
491000	0.040	16.661
492000	0.040	16.701
493000	0.040	16.741
494000	0.040	16.781
495000	0.039	16.820
496000	0.039	16.859
497000	0.039	16.898
498000	0.039	16.937
499000	0.039	16.975
500000	0.041	17.016
501000	0.042	17.058
502000	0.044	17.102
503000	0.047	17.150
504000	0.047	17.197
505000	0.046	17.243
506000	0.045	17.288
507000	0.045	17.333
508000	0.045	17.378
509000	0.046	17.424
510000	0.048	17.472
511000	0.049	17.521
512000	0.048	17.569
513000	0.047	17.616
514000	0.046	17.662
515000	0.048	17.710
516000	0.048	17.758
517000	0.048	17.806
518000	0.049	17.855
519000	0.050	17.904
520000	0.050	17.954
521000	0.048	18.002
522000	0.046	18.048
523000	0.045	18.093
524000	0.045	18.138
525000	0.044	18.183
526000	0.043	18.226
527000	0.042	18.268
528000	0.041	18.309
529000	0.041	18.350
530000	0.041	18.391
531000	0.044	18.435
532000	0.045	18.480
533000	0.045	18.526
534000	0.044	18.570
535000	0.043	18.613
536000	0.042	18.655
537000	0.042	18.698
538000	0.042	18.740
539000	0.042	18.781
540000	0.040	18.821
541000	0.040	18.862
542000	0.040	18.902
543000	0.038	18.940
544000	0.040	18.979
545000	0.041	19.020
546000	0.040	19.060
547000	0.040	19.100
548000	0.039	19.139
549000	0.039	19.178
550000	0.038	19.216
551000	0.037	19.253
552000	0.037	19.290
553000	0.040	19.330
554000	0.041	19.370
555000	0.040	19.411
556000	0.039	19.450
557000	0.041	19.491
558000	0.040	19.531
559000	0.041	19.572
560000	0.041	19.613
561000	0.042	19.655
562000	0.041	19.697
563000	0.041	19.738
564000	0.040	19.778
565000	0.041	19.818
566000	0.041	19.860
567000	0.041	19.901
568000	0.040	19.941
569000	0.038	19.979
570000	0.037	20.016
571000	0.035	20.051
572000	0.035	20.086
573000	0.033	20.119
574000	0.032	20.151
575000	0.031	20.182
576000	0.031	20.214
577000	0.031	20.244
578000	0.031	20.275
579000	0.031	20.306
580000	0.031	20.337
581000	0.030	20.366
582000	0.030	20.396
583000	0.028	20.424
584000	0.027	20.451
585000	0.026	20.477
586000	0.025	20.502
587000	0.024	20.526
588000	0.025	20.551
589000	0.025	20.576
590000	0.025	20.601
591000	0.025	20.626
592000	0.025	20.650
593000	0.024	20.674
594000	0.024	20.698
595000	0.024	20.722
596000	0.026	20.747
597000	0.026	20.773
598000	0.026	20.799
599000	0.025	20.824
600000	0.024	20.848
601000	0.022	20.870
602000	0.021	20.890
603000	0.019	20.910
604000	0.020	20.929
605000	0.021	20.950
606000	0.021	20.972
607000	0.021	20.992
608000	0.021	21.013
609000	0.020	21.033
610000	0.020	21.053
611000	0.021	21.074
612000	0.021	21.095
613000	0.021	21.116
614000	0.021	21.137
615000	0.021	21.158
616000	0.021	21.179
617000	0.020	21.199
618000	0.019	21.218
619000	0.017	21.235
620000	0.017	21.252
621000	0.018	21.270
622000	0.019	21.289
623000	0.017	21.307
624000	0.016	21.322
625000	0.015	21.337
626000	0.014	21.351
627000	0.013	21.364
628000	0.011	21.375
629000	0.009	21.384
630000	0.008	21.392
631000	0.008	21.399
632000	0.006	21.406
633000	0.005	21.411
634000	0.007	21.418
635000	0.007	21.424
636000	0.007	21.432
637000	0.007	21.439
638000	0.007	21.446
639000	0.008	21.454
640000	0.008	21.462
